,tweet_id,expanded_urls,rating_numerator,rating_denominator,dog_class
2355,666020888022790149,https://twitter.com/dog_rates/status/666020888022790149/photo/1,8,10,
2354,666029285002620928,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,
2353,666033412701032449,https://twitter.com/dog_rates/status/666033412701032449/photo/1,9,10,
2352,666044226329800704,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,
2351,666049248165822465,https://twitter.com/dog_rates/status/666049248165822465/photo/1,5,10,
2350,666050758794694657,https://twitter.com/dog_rates/status/666050758794694657/photo/1,10,10,
2349,666051853826850816,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,
2348,666055525042405380,https://twitter.com/dog_rates/status/666055525042405380/photo/1,10,10,
2347,666057090499244032,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9,10,
2346,666058600524156928,https://twitter.com/dog_rates/status/666058600524156928/photo/1,8,10,
2345,666063827256086533,https://twitter.com/dog_rates/status/666063827256086533/photo/1,10,10,
2344,666071193221509120,https://twitter.com/dog_rates/status/666071193221509120/photo/1,9,10,
2343,666073100786774016,https://twitter.com/dog_rates/status/666073100786774016/photo/1,10,10,
2342,666082916733198337,https://twitter.com/dog_rates/status/666082916733198337/photo/1,6,10,
2341,666094000022159362,https://twitter.com/dog_rates/status/666094000022159362/photo/1,9,10,
2340,666099513787052032,https://twitter.com/dog_rates/status/666099513787052032/photo/1,8,10,
2339,666102155909144576,https://twitter.com/dog_rates/status/666102155909144576/photo/1,11,10,
2338,666104133288665088,https://twitter.com/dog_rates/status/666104133288665088/photo/1,1,10,
2337,666268910803644416,https://twitter.com/dog_rates/status/666268910803644416/photo/1,10,10,
2336,666273097616637952,https://twitter.com/dog_rates/status/666273097616637952/photo/1,11,10,
2334,666293911632134144,https://twitter.com/dog_rates/status/666293911632134144/photo/1,3,10,
2333,666337882303524864,https://twitter.com/dog_rates/status/666337882303524864/photo/1,9,10,
2332,666345417576210432,https://twitter.com/dog_rates/status/666345417576210432/photo/1,10,10,
2331,666353288456101888,https://twitter.com/dog_rates/status/666353288456101888/photo/1,8,10,
2330,666362758909284353,https://twitter.com/dog_rates/status/666362758909284353/photo/1,6,10,
2329,666373753744588802,https://twitter.com/dog_rates/status/666373753744588802/photo/1,11,10,
2328,666396247373291520,https://twitter.com/dog_rates/status/666396247373291520/photo/1,9,10,
2327,666407126856765440,https://twitter.com/dog_rates/status/666407126856765440/photo/1,7,10,
2326,666411507551481857,https://twitter.com/dog_rates/status/666411507551481857/photo/1,2,10,
2325,666418789513326592,https://twitter.com/dog_rates/status/666418789513326592/photo/1,10,10,
2324,666421158376562688,https://twitter.com/dog_rates/status/666421158376562688/photo/1,12,10,
2323,666428276349472768,https://twitter.com/dog_rates/status/666428276349472768/photo/1,7,10,
2322,666430724426358785,https://twitter.com/dog_rates/status/666430724426358785/photo/1,6,10,
2321,666435652385423360,https://twitter.com/dog_rates/status/666435652385423360/photo/1,10,10,
2320,666437273139982337,https://twitter.com/dog_rates/status/666437273139982337/photo/1,7,10,
2319,666447344410484738,https://twitter.com/dog_rates/status/666447344410484738/photo/1,9,10,
2318,666454714377183233,https://twitter.com/dog_rates/status/666454714377183233/photo/1,10,10,
2317,666644823164719104,https://twitter.com/dog_rates/status/666644823164719104/photo/1,9,10,
2316,666649482315059201,https://twitter.com/dog_rates/status/666649482315059201/photo/1,4,10,
2315,666691418707132416,https://twitter.com/dog_rates/status/666691418707132416/photo/1,8,10,
2314,666701168228331520,https://twitter.com/dog_rates/status/666701168228331520/photo/1,8,10,
2313,666739327293083650,https://twitter.com/dog_rates/status/666739327293083650/photo/1,10,10,
2312,666776908487630848,https://twitter.com/dog_rates/status/666776908487630848/photo/1,5,10,
2311,666781792255496192,https://twitter.com/dog_rates/status/666781792255496192/photo/1,10,10,
2310,666786068205871104,https://twitter.com/dog_rates/status/666786068205871104/photo/1,2,10,
2309,666804364988780544,https://twitter.com/dog_rates/status/666804364988780544/photo/1,8,10,
2308,666817836334096384,https://twitter.com/dog_rates/status/666817836334096384/photo/1,9,10,
2307,666826780179869698,https://twitter.com/dog_rates/status/666826780179869698/photo/1,12,10,
2306,666835007768551424,https://twitter.com/dog_rates/status/666835007768551424/photo/1,10,10,
2305,666837028449972224,https://twitter.com/dog_rates/status/666837028449972224/photo/1,3,10,
2304,666983947667116034,https://twitter.com/dog_rates/status/666983947667116034/photo/1,11,10,
2303,666996132027977728,https://twitter.com/dog_rates/status/666996132027977728/photo/1,10,10,
2302,667012601033924608,https://twitter.com/dog_rates/status/667012601033924608/photo/1,9,10,
2301,667044094246576128,https://twitter.com/dog_rates/status/667044094246576128/photo/1,12,10,
2300,667062181243039745,https://twitter.com/dog_rates/status/667062181243039745/photo/1,10,10,
2299,667065535570550784,https://twitter.com/dog_rates/status/667065535570550784/photo/1,8,10,
2297,667073648344346624,https://twitter.com/dog_rates/status/667073648344346624/photo/1,10,10,
2296,667090893657276420,https://twitter.com/dog_rates/status/667090893657276420/photo/1,7,10,
2295,667119796878725120,https://twitter.com/dog_rates/status/667119796878725120/photo/1,10,10,
2294,667138269671505920,https://twitter.com/dog_rates/status/667138269671505920/photo/1,10,10,
2293,667152164079423490,https://twitter.com/dog_rates/status/667152164079423490/photo/1,12,10,
2292,667160273090932737,https://twitter.com/dog_rates/status/667160273090932737/photo/1,11,10,
2291,667165590075940865,https://twitter.com/dog_rates/status/667165590075940865/photo/1,10,10,
2290,667171260800061440,https://twitter.com/dog_rates/status/667171260800061440/photo/1,10,10,
2289,667174963120574464,https://twitter.com/dog_rates/status/667174963120574464/photo/1,9,10,
2288,667176164155375616,https://twitter.com/dog_rates/status/667176164155375616/photo/1,4,10,
2287,667177989038297088,https://twitter.com/dog_rates/status/667177989038297088/photo/1,8,10,
2286,667182792070062081,https://twitter.com/dog_rates/status/667182792070062081/photo/1,10,10,
2285,667188689915760640,https://twitter.com/dog_rates/status/667188689915760640/photo/1,10,10,
2284,667192066997374976,https://twitter.com/dog_rates/status/667192066997374976/photo/1,12,10,
2283,667200525029539841,https://twitter.com/dog_rates/status/667200525029539841/photo/1,11,10,
2282,667211855547486208,https://twitter.com/dog_rates/status/667211855547486208/photo/1,9,10,
2281,667369227918143488,https://twitter.com/dog_rates/status/667369227918143488/photo/1,10,10,
2280,667393430834667520,https://twitter.com/dog_rates/status/667393430834667520/photo/1,8,10,
2279,667405339315146752,https://twitter.com/dog_rates/status/667405339315146752/photo/1,7,10,
2278,667435689202614272,https://twitter.com/dog_rates/status/667435689202614272/photo/1,12,10,
2277,667437278097252352,https://twitter.com/dog_rates/status/667437278097252352/photo/1,10,10,
2276,667443425659232256,https://twitter.com/dog_rates/status/667443425659232256/photo/1,6,10,
2275,667453023279554560,https://twitter.com/dog_rates/status/667453023279554560/photo/1,11,10,
2274,667455448082227200,https://twitter.com/dog_rates/status/667455448082227200/photo/1,7,10,
2273,667470559035432960,https://twitter.com/dog_rates/status/667470559035432960/photo/1,11,10,
2272,667491009379606528,https://twitter.com/dog_rates/status/667491009379606528/photo/1,7,10,
2271,667495797102141441,https://twitter.com/dog_rates/status/667495797102141441/photo/1,9,10,
2270,667502640335572993,https://twitter.com/dog_rates/status/667502640335572993/photo/1,11,10,
2269,667509364010450944,https://twitter.com/dog_rates/status/667509364010450944/photo/1,12,10,
2268,667517642048163840,https://twitter.com/dog_rates/status/667517642048163840/photo/1,8,10,
2267,667524857454854144,https://twitter.com/dog_rates/status/667524857454854144/photo/1,12,10,
2266,667530908589760512,https://twitter.com/dog_rates/status/667530908589760512/photo/1,10,10,
2265,667534815156183040,https://twitter.com/dog_rates/status/667534815156183040/photo/1,8,10,
2264,667538891197542400,https://twitter.com/dog_rates/status/667538891197542400/photo/1,9,10,
2263,667544320556335104,https://twitter.com/dog_rates/status/667544320556335104/photo/1,10,10,
2262,667546741521195010,https://twitter.com/dog_rates/status/667546741521195010/photo/1,9,10,
2261,667549055577362432,https://twitter.com/dog_rates/status/667549055577362432/photo/1,1,10,
2258,667724302356258817,https://twitter.com/dog_rates/status/667724302356258817/photo/1,7,10,
2257,667728196545200128,https://twitter.com/dog_rates/status/667728196545200128/photo/1,11,10,
2256,667766675769573376,https://twitter.com/dog_rates/status/667766675769573376/photo/1,9,10,
2255,667773195014021121,https://twitter.com/dog_rates/status/667773195014021121/photo/1,8,10,
2254,667782464991965184,https://twitter.com/dog_rates/status/667782464991965184/photo/1,9,10,
2253,667793409583771648,https://twitter.com/dog_rates/status/667793409583771648/photo/1,8,10,
2252,667801013445750784,https://twitter.com/dog_rates/status/667801013445750784/photo/1,12,10,
2251,667806454573760512,https://twitter.com/dog_rates/status/667806454573760512/photo/1,10,10,
2250,667832474953625600,https://twitter.com/dog_rates/status/667832474953625600/photo/1,12,10,
2249,667861340749471744,https://twitter.com/dog_rates/status/667861340749471744/photo/1,9,10,
2248,667866724293877760,https://twitter.com/dog_rates/status/667866724293877760/photo/1,10,10,
2247,667873844930215936,https://twitter.com/dog_rates/status/667873844930215936/photo/1,10,10,
2246,667878741721415682,https://twitter.com/dog_rates/status/667878741721415682/photo/1,2,10,
2245,667885044254572545,https://twitter.com/dog_rates/status/667885044254572545/photo/1,10,10,
2244,667886921285246976,https://twitter.com/dog_rates/status/667886921285246976/photo/1,11,10,
2243,667902449697558528,https://twitter.com/dog_rates/status/667902449697558528/photo/1,9,10,
2242,667911425562669056,https://twitter.com/dog_rates/status/667911425562669056/photo/1,5,10,
2241,667915453470232577,https://twitter.com/dog_rates/status/667915453470232577/photo/1,10,10,
